text,nwords,hashed
Is in a rather busy pub in Sunderland.  x.,9,-5350502855380117133
Live Like Andi Cheetah Ball  and good news: i survived the race! haha,13,6907617641516374046
spending the day with the familia riding horses and hanging out ,11,-3573883563103671624
@sweettart321 Wish I could! ,4,-7804910476648984718
@trekkerguy not yet but I'm gonna check it out ,9,-8619295108136531155
@accentuations ty m'dear! ,3,-1885479538427041297
fingers crossed i can see millsy today  http://tumblr.com/xne1p9b1y,8,-6533861182508738617
Working alllll day today and it's going to be SUPER busy. FML! @cameronm82 Happy Happy HAPPY biiiirfday hope you have a great day &lt;333 ,24,-7811559231622225070
watching harry potter and the order of the phoenix. i can't waittt for hbp to come out ,17,7814826829620196911
@markalves LOL @ baseball players get &quot;sent down&quot; @LJLeg yes! @dustinfaber basketball is a close second... ,16,5692911401510033823
@Uk_joedan_fan That sounds lovely. Hope it goes well. ,8,1500579739112220571
round rosies for another night. mcfly in 2 days.again  i love being poynterpie hahahahahaha,14,1731279917063892455
Spending quality time with my dad ,6,-23438165011224345
@graff_king k thanks ,3,877001149843983523
wizards! ,1,-1606896886943788195
@momfluential Ooohhh that's good that she's Olive at least.  Will help out a little.,14,-7064108917602737656
@jettalee hahaha ya I read Breaking Dawn at a slower pace than the other 3 books too.. Now I'm reading Emily Giffin's latest book ,24,-4170828675638501740
@mikebilleter It's honestly the least I could do.  You guys are the ones doing the hard work.  Keep it up! ,20,8147792525708811771
"@amankevin Yaaay you have this awesome Pic here, too !  It's soo damn cute. But you already know it.haha",19,-8572133998370291736
@snedwan Mooooooooornin'  How are you? Are your legs ok?,9,8480364545183136274
@chkndoodie no need to thank  we all just have to keep the good thought! ,14,-1861835181007049842
Had some lovely sugar puffs and just been playing with my amazing dog jack ,14,-5284170558910935505
@smoshian the pink straw also makes you manly ,8,5961816256079559534
"http://twitpic.com/4jbws - Hyeri, Ayshea, Isabelle, Me  At ROXY!",8,3906078093468765002
"@EmmaJaney ohh, yeah well. im sick today so i win ",10,-3636595041104606298
@sucka99 yep 14 days whoop ,5,6735964256899091588
@EnchantedStar it can only get better. ,6,-4677219639445127141
Europe bound ,2,4905906219435578841
@boldnbright1 Call me when you have time and a good phone  I wanna catch up with you! I love you and miss you.,23,5399082160570394412
wishing I were somewhere else besides here!!  Don't worry this won't dampen my day and neither will the rain ,19,2410454345107782450
@VIVIatTheDisco Good luck on your first day !!!! ,8,8437452336223482109
"@bendvrx no swearing ben, say 'fudge' ",6,-4927264474793613571
i'm causing trouble with my partner in crime. ,8,1426832389453035598
Twitter is officially the BEST way to advertise something. ,9,-6292973167956054232
"@GreeGreece oh wait your in Greece, I'm in the U.S of course you think differently ",15,-8153933537888322519
I forgot I set my iTunes to display by play count last night. I didn't understand why Taylor Swift was in front of Belinda. Haha. ,25,2835403392293179155
"sitting here with Nathan, Eddie &amp; Brenden chilling out at 1 AM, haha great day, I love my life! ",19,8984662438007039974
@nemke  #stackeoverflow  http://bit.ly/13Nfk1  ,3,1597523259484141863
@scottrmcgrew honey is great for your health! ,7,507214667335047925
@mariapaulaa i KNOW! AHH!  so fun!,6,314994760179027641
save me--i feel like i'm going crazy.  ? http://blip.fm/~5z193,9,8999119034395387380
Reminiscing my old days by listening to old music.   ,9,2278803856596708129
@JOY949 thanks for promoing the show for me in my absence  Glad you liked it. @sealfur and @flipthetape rock!,19,2172959743599218362
@teensygreen Cool! That's a fun Mother's Day present. ,8,5562112704506927469
@mrskutcher: happy mothers day ,4,-5788963068087992636
@Karen230683 well done! I'm proud of you ,7,2986235445462274731
@JimSutton5 Shouldn't that be &quot;fush&quot;? ,5,6192898821205334531
I am working out how to use this thing after finally giving in and creating an account ,17,985963861698602163
"I knew we'd get May Gray weather don't mind it at all. Good luck Dodgers, Happy Mother's Day Mom and to everyone who is a Mom. ",26,-4535884245081013000
"heading to Margarita at Pine Creek for Mother's Day brunch.....with mom, of course ",13,-3211567142535784851
"@maymaym I thought http://ffmpegx.com was fairly dead these days? Of course if it works, then great to know  I'm a CLI dork anyway",23,-8919140928632316771
Work work work all day long work work work so I can get my degree!!!  ,15,-423218431324708019
"@Phoena I like it. if they go all religious on me, then surely I can as well: &quot;I will channel the powers of universe onto you as well.&quot; ",28,-3723616144775976622
the only bad things about vacations is having to go back to the real world....(good thing its only for 7 more days   ),23,-7986865958907282083
laying in bed w my boy watching ANTM! ,8,-8535950998018875869
@natalietran uploadd!! ,2,-900783040784911708
@natobasso thanks for linking to my blogpost &quot;hurting people hurt people&quot; ,11,-8938305277784878008
is back...  http://plurk.com/p/t0n8w,3,-1199138446137080736
@Vikingfist Thanks for adding me to your cool people list for FF! ,12,-1218879805465094458
"@farkie03 I was there last week. Great beach, great food and very friendly locals  I wanna live there.",18,-7363344108796009438
Only 26 days left and we are leaveing for the States.... 4 weeks of  vacation is gonna be awesome  Could life be any better.,24,9143630041717395696
@DavidKirlew Thank you sir. It's weird that I've been held back for so long (for some reason). I feel I must let myself out now!  PEACE ,26,6751647919216595062
@Quikszilva that explains everything ,4,-7667071140209586652
lol I made pa-cute hehe I'm safe for now ,9,5320138863142085439
Shower time! ,2,4801503518445485825
@shurree I'll start twittering if you start twittering.  ,8,-7041375009335744713
@film_production thNx 4 following my twitter acc. ,7,-8149254552460908266
@LearnAsOne What sort of maths are they doing? Equivalent to a 10yo in the UK? Ask her what 7 x 12 is ,22,-8604330314869699400
"mathtest tommorrow, finals ",3,-554085819550021824
"@sofie_lee yeaaaah, well its like banana yellow but its just like our matching orange ones haha ",16,49327505879227986
"@thebadhousewife It is, and I am. My wife said &quot;I bet they're setting you up to take a fall&quot;.. she's so supportive  She cracks me up",26,-7033656834359477245
@socialdiva I just signed up for your newsletter! ,8,-2669460443061589530
prayen saturday will do good =]] soo ready  beach is sooo close i can taste the salty water lol as you can tell i am uuber boredd =]] ily,29,-3173721329381909094
@jax14 Not just you. ,4,818339674296011258
@DennisF @georgevhulme Scientia Craptacula is the faux-latin ,7,-1362285793956720298
Sad eurovision is over for another year...but that Norway song did grow on me after a while...very pleased with 5th place UK ,22,6645786082775996269
"@roytanck ;] bored you are? :] well, then a request I have ;] ... normally speaking  do you have as 2.0 sources of wp-cumulus? ",24,5956548199177264231
@MelbourneVixens absolutely awesome effort  so glad im a member ,9,-4926613348880756014
@veganB12 A spud is a very special veg ,8,-5847673798722054996
Twas like my punishment for squashing an apple..in the school playground! Dude..my dream was all over the place!!! ,18,6250018026420077864
8:10am getting ready to get on metra train for the greenfestival. I wil also be in my lemon shoes. peace.  ,20,8207975502658287972
Good morning !!  Today seems like a great day to stay home and relax all day!!...I just think I might!! ,20,-1385676812545541303
@Alyssa_Milano good morning to you!!  it's already 17:25 where i live!! have a good day!!,15,8256989324795451702
NEW PARAMORE SONG!!! GAAHHH!!!!! IT'S FANTASMAGORICAL!!!! ,6,-5646561677867516755
"@enjoiheelflip aww thank you. who doesn't like penguins, right? ",9,7855367461226865294
@Wossy Watching yr show from Friday. Excellent as usual &amp; the gorgeous Ewan McGregor......could watch &amp; listen 2 him all day (&amp; night!) ,23,6619522824889148702
"@khimmie95 If you dont mind, who's that gurl huh?! Haha. I'll help you slap her. Kidding. ",16,3381420089919998768
@michaelsarver1 Lookin forward to seein you on the stage again ,10,-5843455887298328601
@helle_182 happy  #delongeday unica pontagrossense fÃ¯Â¿Â½ de blink q eu conheÃ¯Â¿Â½o  haha,12,7906302129778568747
I didn't even see Steve May looking at his phone in class!  I should have given him a demerit! ,19,-3880864076809131000
@debbieFletcher Did You havee a Good Day today ?? i did A Dancing Competion And Came 1st !!  x,19,-2650880047044408611
"@cmorbutt They're hilarious! Google them, some of the vids are on youtube ",12,808065845770782939
@JessMcFlyxxx i suppose i can just say im twenty-teen haha!! gdgd yeh fine thanks just waiting on mcfly doin their bit on radio one  x x,26,-7563746432836810384
Falling In Love ? Im already in love with you Mcfly  ?,12,-5385297174415368892
&quot;Mamma Mia&quot; on Tuesday and Wednesday ,6,7317508519232249410
AB What would you uninvent? 192 interesting comments in this blog  http://tinylink.com/?O5Pu0RML9U &quot;Eve&quot; is the best ,16,-6726975535819159598
@BobbiBillard Congrats! I had to take AED training as part of my work certs. ,14,-1317919281244724265
@jpetroroy it's going to be a madhouse but fingers (&amp; toes) crossed that they pull it off. ,17,4471850336344191969
Threw a really kick ass party last night. it was basically amazing. ,12,7477794874745944030
Eating chips ,2,-1818020341945302126
@MissCaseyB i will email you tonight ,6,4417009736504362000
"@alvaromano almost forgot to wish you a happy birthday. wish you all the best, dude. ",15,2869026178795556960
Can someone pick me up from the atl airport on June 1st?  ,12,-4190186691844089533
spending time with Caleb makes me want to have kids ,10,-1799506330145438669
@dominican_mami1 if you like 2 laugh..have a good time..follow me..its just that simple ,13,-6279301034723368176
@kayteejay6 i love you too ,5,6875533158473289377
"@rny_alison ahhahaa, not old at all  hehe I think old is like 70, lol your still a youngin', you still know what's shakin' ",23,-5004865723645441539
"No work today pheww, chillaxin for a few hours then go see the girls  any1 else havin a chiilout day? ;)",21,-3664717959133806049
"Now, i'm ready to sleep, tomorrow i will wake up early, the school is waiting for me  so Goodnight",19,-5942750573298747015
@Moni7dSHEGETDOE ,1,5563990180729687082
@mickelous Not a good day to break it then? ,9,8332172166647244236
@monicafrancesca I thought it was a really awesome season-ender.  Makes you also wonder who ends up with whom? ,18,-292584749141092990
"good morning people  McFLY's coming to Brazil really soon, yeye \o/",11,-2952404143759858633
@ch1m1changa a few hours more and then chicken rice awaits ,10,3042787071946362465
@NatFace glad it made a difference. I shall endeavour to use it more ,13,5602818275821878589
"@tommcfly : aaw, glad that the cat is okay now.  xx",11,5818444924852144232
JOIN 'my new whatever joint' Tumblog called 'Just Chillin' http://imjustchilling.tumblr.com/ Thanks ,11,-6745270108729574059
"@irsdigital, great to chat to you at #Somesso09, here is a link to the audioboo I did, http://bit.ly/CkmhT   Will email you shortly ",22,3433381255120231967
@jkaymackey very good manners! ,4,8085796749332970122
I just woke up. Im staying home with adam. ,9,-4178817840598882833
@nicholaspoulos ohai  i love your videos they cool,8,-2583859374414847739
and FoalDay  Happy Foalday my blesk!,6,-6315328564930501909
@savagestar up to no good as usual. ,7,4059252606379995931
going to read &quot;the host&quot; and hopefully fall asleep. but first brush teeeth ,13,-2324468626351087051
Some brilliant ones here:  http://lolfatcats.com  ,5,-831138614123430641
"@AIPChristina Hi babes, I sent a new PR now that the auctions are up &amp; running. Thanks for all your help! We'll catch up on YIM soon ",27,4007076423386371568
just finished the talk at the university and heading out for coffee now with rizza ,15,-3474545201979545112
"@MKupperman and by you! I mean, oh lord of comic based mirth ",12,6600023312436025943
"@ChEmIcALbUlLeTs hahaha why will you talk bout it? no, i was in home ",13,-7136351885274160880
@alithealien that is such a cute picture ,7,1382540787345218754
@shaundiviney haha its wat ppl talk about heaps and it becomes a trending topic  #shaundiviney to number 1 !  xx,20,-1344396265975166454
The voice of Mickey Mouse passed way. Condolence. And thank you for the great job he did ,17,-8448438248225958887
@CStarrBurst you already are! but i can make your photos reflect that too! ,13,-7375037548421410221
"@LisaNelsonRD Thanks, I have been trying to get out of my funk ",12,7454696922480782681
@exchangeboss ??? ???? ???? ????? ??????????? ???? ? ???? .. ??? ??? ?? ??? ????? ??????????? ???? ?????? ,18,-2674815346660508088
@eatair I will be armed with my camera ;). I will admit I love the many photos in this new book ,21,5138944830148872381
"Have a flick through my followers a diverse, intelligent, hilarious smelly bunch of scallywags and very worth a #followfriday ",19,8369341814606637176
@TurtlesPajamas So the ideal way to start you day would be to focus on your painting while vacuuming the floor. ,20,-3695091064077117508
@MermaidUndersea following you now ,4,-9161187021404680125
Just met the real estate legend Dolf de Roos.......what a great guy and so generous with information ,17,-6905466605999607895
"@ladysinh  will try, just not sure what ya like in a gift. ;)",13,6842876643879148322
One of the few upsides of an 8:30 final? Time to enjoy an omelette and the @okgazette afterward ,18,3185975795814554187
So happy it's friday! 3 day weekend soon ,8,7543916309950240993
"Mmmmmm, New York REAL bagels. ",5,-72211215543538245
@Twiter_ME_This We got this for you ,6,6380264862222587191
@cute_carl sweet maybe we can go this weekend or something...if you're in town!  i love bike riding! ,17,3810944397689333965
once upon a time i found out jen love hewwit sings ,11,8188347497509659404
"@jennettemccurdy You so Sweet  and I Love your music, its so Cool ",12,3153836479065526944
another addiction - adam lambert's version of cryin! ,8,-6801996453934115543
@Jennybeeean WHYYYY are you talking about david getting laid?! hahahahha you're skipping steps for sure ,15,3044063644580282425
"Gonna be turning in soon... busy day, busy day! ",9,6786676094107368446
Either everyone is gonna let this go [meaning all parties involved] or Ima be forced to end it ,18,8462980015542374658
"'ere we go,luv Mahalo@MusicOnLunch  @tweetmarketing1 @rcoulter444 @Burloquexiv @Thomas_Reed190@tjclassic82 @ericstreet  Lookin4ward2tweets",10,-1086154370422539396
@LorenAMAL hi loren! i hope all's well with you.. ,9,-4815154868965197978
Now times for a movie ,5,1391630885534078600
taking AF 0084 today - SF here I come ,9,1715523503907110468
@stevieg69 ok u 2 guys r not included ,8,418372812439683033
@AliciaRivera Sure. I'll bring the GCG scrap. ,7,-6797296628207935044
@softtouchme everything is okay today? ,5,7636101145998863289
"i love lyrics that make me feel so alive, lyrics that make me get lost in a world where nothing matters, only me and the music ",26,-7149889080726888552
Melissa and I are chillen on the couch smoking a blunt waiting on her roommate to show-up so we can have a threesome...  ...,24,-529671025042902964
@Azrillunatic blue is always my last choice.. Wat about kinky pink? ,11,3219214258956852989
@JaneBegger Leaving Moscow when it finally gets warm? ,8,1202289418734572427
@xntrek oh yeah that would be so cool. ,8,7086314009369563102
Make that 19 degrees ,4,-852460853866055300
@francescazurlo HAHA!!! how long have you been singing that song now? It has to be at least a day. i think you're wildly entertaining! ,24,-5523004529484048504
@sherrilynne thanks  I'm curious to hear what your podcast is about...,11,-606437484782793304
dont worry. drama over. i changed it lol anywho im off now  ttfn (y),14,-1697049850952291017
"it took a long time b/c of writing descs!  wrote a new one for tirloth and pwned!elathrad. i'll probably scrap them tomorrow, but. ",23,2982035084107907641
"@narvylicious Yeah, I'm doing my mechdraw hw now. What time tomorrow? Bea has a game in Polo Club and I want to pass by. Hihi ",25,-3964289075736064388
I have a new puppy!!  Now I have 2 ,9,-461840791106265126
@MCRmuffin hehe  I'm boooored. what're you up to? ,8,-6333008263750741014
This new Squarespace ad by Film Riot is just a LITTLE bit too funny  http://bit.ly/jIlNZ,15,-7767507919398321122
"#followfriday @lepetitbebe, formerly known as @YayaSue ",6,-7535985506384576411
@donmilleris I hope that price is for the original manuscript since it's listed as &quot;used&quot; for that price ,18,-8818385169195741691
i see you baby shaking that bootie ,7,7178202622166690906
"Good After noon all, it feels so good ta just be waking up ",13,-8482822147590138132
@PoppyFlowerFibr Isn't it great? Pretty much anything is better when you put Uber in front of it. From now on I will be UberLynnZimm. ,24,4902147563792239012
"@geekgrrl You just come across as a real Hank, Senior kinda grrl. Tears in beers, lonesome highways, and all that...  ",20,-6823662759268110718
@chrisilluminati Quite amusing and fun.  I kept trying to think of some really good ones... ,15,7476619553296176497
On my way to Memphis with Cess and the youth group! ,11,345775983573864613
Twitter from my phone ,4,8232721251954678455
On my way to the hotel ,6,7712229387910274041
@subrbanoblivion That does sound like bliss. I may have to get into hanging around the house clothes myself. ,18,6776294951086789253
@mhaemee : Good morning  ,4,-8467171134108084099
Steak and a night on the town. Who knew that would be such a priority to the boys after getting back home? ,22,1142652192622005092
"@JacobsPillow @PillowPR I've just been looking around at dance festival websites, yours seems to be the best! ",17,-2074106144486197349
"msn On, laiza.butterfly@hotmail.com. Pode me add. . . nu vo te acc msm -rs ",14,6927156269703649131
@AhSatanseesMCR  i can never see em cause i'm never online when you are.haha. What kind of videos?? (you're specail too!!),20,5650002659374871645
@chantalclaret rofl!  you're amazing.,4,-465867566520754399
http://twitpic.com/689pn - I LOVE U MADDIE!? Your dog is so cute! I will buy an equal! You're my little favorite! ,20,-9029216393652839786
lots of work on my portfolio.  Finally found my camera cord.,11,-4476155289902059106
"@kayray Wow, you have seen it three times and I haven't even been once yet. I need to get on board ! ",22,-281324940348504298
"@Trinity969 push ups the exercise, or the candy? I'd have to run to the corner store if it's the candy ",20,-2257598422982889083
@RDBONES #frinightfever loving your quickness  This is so fun!,9,-8823389058150002237
@TRAKGIRL lol thanks  Still doesn't mean I can neglect my day one tweeters  aka you and a few other ppl haha.,21,-8578876306978003503
"@skandarkeynes Hi how are you  ? I just saw your page &amp; i wanted you to know that i love your movies &amp; you're handsome  Anyway, wassup ?",28,5129591040901409858
@BrianLockwood It's the combination of sun and sea breeze....  good for creative energy! ,13,-5910521978810133205
aww - new followers! - hello &amp; thank u! ,9,2385487058264502339
New to twitter.... Kinda like it ,6,569217633337659843
&quot;When Social Media Takes Over&quot; - David Guetta feat. Kelly Rowland #smss09  ? http://blip.fm/~7b9mc,14,-238391946904868614
@bansheedj and thanks for the advice ,6,-4976247207744919776
@ajrafael Love your songs men! ,5,-3928022222232854355
@lordmuttley thanks again for the #ff ...and how are you going? ,11,-4375965713455348688
@samMjones boo. I misses you already. Have a safe trip back home to LA. &amp; enjoy New Orleans ,18,-6329650089292246243
"last bill frm #tata #indicom hs xcess chrgs for 106 MB w/o th limit xceeded..cstmr srvc says 'all our systms r down', cant chek th bill.. ",26,489344216632608566
GIG TONIGHT!!!!!!! Hertford Marquee you should be there  MY BAND ARE AWSOME  Hrm i hope NME read this   i was in there mag this week haha,26,7271019181701419857
good morning to the world...goodnight for me  i'm out ZZzZZzzZZZ,10,4493828056062159762
@brianwelburn Shaking it good! Laters!  xxx,6,541386324859481623
"@linhaz Hi  i think there there should be a lower age limit, there is one for x factor #bgt",19,-3766507635798734327
@Padaysia You're welcome! How's the wedding planning going? Hear back from anymore peeps or just going to assume half &amp; half? ,21,-1589545671647067410
@jelmer89 lol... thanx anyway ,4,-8663242320606581285
@partyharderman wow mikky you went to pfw? nice! ,8,191886332186124903
"@timbuckteeth yet in your blog post, you (or is it Jarrett) say SL is a ghost town. Who is right?  ",20,3848288490515188950
OK  -  I recoded the 20 Angel Central tracks. Will put them back up Monday.  Why? Scared of PIMPSPACE!!  doo doo doo doo twilite zone ,25,-705019133719851318
"yes, i talk to myself! ahaha  its fine.",8,5947593414627931802
"Another beautiful day, just had a BBQ with the family. Got my Gran doing some RHMF routines. Shes one fit 74 yr old! ",23,-7549624255237662339
coffee.sunshine.books = ,2,-2414017976202190976
loved playing football today &amp; so glad my prom dress is still as nice as i thought ,17,-4423374443305197168
WATCHING RUSSELL PETERS ON COMEDY NOW! ,6,317509480937287713
@mark_smith85 have fun  x,4,-8211557480163173585
Flying closer to heaven on my way to DFW. ,9,-5236541064616227094
I maybe working on another vid soon. ,7,-8462582541348633523
@atomicskunk ...and that`s my dream dog... ,6,1997970881616901455
tomorrow is SUNDAY   i like like lazy sundays... http://bit.ly/zOPRv,9,-3516303633758647339
"Hi there tweets  I'm sooo tired today, the contest was so crazy! I worked as hell until 2:30 am and every part of my body hurts.",26,-180532223821642945
I also just saw the teaser trailer for Toy Story 3. OMG I CAN'T WAIT!! Now I've gotta go get TS 1 &amp; 2 and watch them. ,27,2530750892188111007
"@frankparenteau too moody now to give feedback, wouldn't be objective. I'd love to see the site! DM me link, I'll send feedback in the AM ",25,7065580260792035317
Rain rain go away...Though you do make sleeping so much easier. ,11,-1884456464583654742
http://twitpic.com/69ulm my happy boy ,4,-5249027310799039580
@ClaireSalcedo I'm not a big fan of pixar but from the sounds of it I may have to see Up ,20,868005232736292308
@jesssicababesss LOL ok.. come party with me then jess and u can stop me. ,14,6242045096865718995
"@Snuffkins They were sitting, they were sitting in the strawberry swing And every moment was so precious ",17,8913929228562309543
@alyankovic It's alright.  You can be stupid all night. ,9,-1613354553418000189
homework should be asexual so it can do itself ! ,10,-2761757819267705943
@ the park eating panera bread  ..I love alone time.,10,-1016354034067288679
@jesikaaah i concur ,3,-5596692298595593974
@rdftaxpro From what you said I think it will be okay. Doubt you'll lose clients over the issue. ,18,-1557292677451205616
"@AliciaWag You guys are really cool. You have an amazing voice, Alicia  Makes me wish I were closer to NJ so I could see a show!",26,6158844804570028706
@JacobLovie Yeah! Its nice that @Schofe replies to people voluntarily. And your lucky to have the big man following you ,20,-1631549668373908939
"@jawar But...I would let it slide, laugh about it, and call it cute for someone I love who's proven they're not corny all the time ",25,-7590592899009936675
@ladyharley99 ah I missed it...backing up dvr to hear it ,10,-7720184876931184553
@maggz  yeah i see. the hype wasnt her fault tho was it  and how do u compare a singer to a contemp. dance act anyway hmmm,26,4618636182270643072
@whowatcheswho how's ur party? Having fun?  x,7,7018150541541903190
WORK here i come! ,4,-5149007987037106119
Morning all! Had the best uninterrupted nights sleep in months last night - but have overslept and have headache now. Coffee will fix it ,24,5669089319768911714
@jeffarchuleta us familiar faces always end up getting in somehow. we're hardcore ;] haha. but it was great seeing you and david again! ,23,7760323419191488687
@DukesofWindsor How was your gig lovelies? Hope it went smashingly well! Have no doubt whatsoever that it did  xx,19,-4205055123738804627
watching the Yankee game  we're winning 8-3,7,3161654118640693941
@heyitsMade rainysonic? Haha.  but imagine if we would be in the rain on the outdoor show. That would be awesome. But ready to get the ...,26,4895872704096903822
"excellent first day of talks... dinner, beers, and fun now  #barcampsd #bcsd5",12,-7441565558528318181
@lauren0740 It's this drama murder mystery on every Saturday night. I love it  It's really good...And the self-tanner's a go?,20,-38383600548874354
kickin' it wit da boo &amp; his fam ,8,1179443176424720909
@tinkugallery I just ordered mine from Multnomah County Library. Am looking forward to a good read with you!  #deKooning,19,-4189318736746385648
It's maasaggggiccccc baaaabby! ,3,826380309134099185
@katemargaret  Good 2 hear u had afun Theater night ... it sure is fun to c a live performance ,19,2337816873457673638
@ddlovato i'm down for a personal concert RIGHT now  that'd be so intense. haha ,14,-6870047161656211912
"@iBlankjose Not even, you're boring! Hey go get me an Arizona! ",11,-194216937842861486
On my way to visit Zzz... land ,7,4913130156846802594
